"","Region","metric","value","stat","comparison"
"1","North","DO","11.7152530607093","mean","Region"
"2","South","DO","9.43188784974494","mean","Region"
"3","North","pH","7.59623298559364","mean","Region"
"4","South","pH","7.74912888588893","mean","Region"
"5","North","Salinity","35.3784087633324","mean","Region"
"6","South","Salinity","26.6865220551666","mean","Region"
"7","North","Temperature","15.0001324455899","mean","Region"
"8","South","Temperature","17.1087946090903","mean","Region"
"9","North","Tide","5.22294519277511","mean","Region"
"10","South","Tide","6.88103120265759","mean","Region"
"11","North","DO","27.1007694169825","var","Region"
"12","South","DO","4.74424724554744","var","Region"
"13","North","pH","0.0964726140045489","var","Region"
"14","South","pH","0.0395122352066002","var","Region"
"15","North","Salinity","19.4751939622848","var","Region"
"16","South","Salinity","54.3030607437461","var","Region"
"17","North","Temperature","5.23134023661898","var","Region"
"18","South","Temperature","3.25250095715987","var","Region"
"19","North","Tide","9.77465672179777","var","Region"
"20","South","Tide","16.7000946012439","var","Region"
"21","North","DO","5.20583993386106","sd","Region"
"22","South","DO","2.17812929954754","sd","Region"
"23","North","pH","0.310600408893081","sd","Region"
"24","South","pH","0.198776847763013","sd","Region"
"25","North","Salinity","4.41307080866428","sd","Region"
"26","South","Salinity","7.3690610489903","sd","Region"
"27","North","Temperature","2.28721232871349","sd","Region"
"28","South","Temperature","1.80346914505346","sd","Region"
"29","North","Tide","3.12644474152315","sd","Region"
"30","South","Tide","4.08657492299406","sd","Region"
"31","North","DO","41.95","max","Region"
"32","South","DO","18.27","max","Region"
"33","North","pH","8.41","max","Region"
"34","South","pH","8.34","max","Region"
"35","North","Salinity","42.9","max","Region"
"36","South","Salinity","36.5","max","Region"
"37","North","Temperature","36","max","Region"
"38","South","Temperature","30.4","max","Region"
"39","North","Tide","11.0531","max","Region"
"40","South","Tide","15.473642","max","Region"
"41","North","DO","0.15","min","Region"
"42","South","DO","3.69","min","Region"
"43","North","pH","6.71","min","Region"
"44","South","pH","7.08","min","Region"
"45","North","Salinity","23.6","min","Region"
"46","South","Salinity","0","min","Region"
"47","North","Temperature","11.5","min","Region"
"48","South","Temperature","11.2","min","Region"
"49","North","Tide","-3.02876","min","Region"
"50","South","Tide","-3.378847","min","Region"
"51","North","DO","10.47","median","Region"
"52","South","DO","9.105","median","Region"
"53","North","pH","7.59","median","Region"
"54","South","pH","7.77","median","Region"
"55","North","Salinity","36.8","median","Region"
"56","South","Salinity","29.3","median","Region"
"57","North","Temperature","14.6","median","Region"
"58","South","Temperature","17.2","median","Region"
"59","North","Tide","5.822115","median","Region"
"60","South","Tide","7.1763185","median","Region"
"SpH.1","South","pH","30.4758690516368","Percent.sd.1.reg","Region"
"NpH.1","North","pH","37.2677595628415","Percent.sd.1.reg","Region"
"SDO.1","South","DO","28.060751275313","Percent.sd.1.reg","Region"
"NDO.1","North","DO","23.9219150994993","Percent.sd.1.reg","Region"
"SSal.1","South","Salinity","15.2377673208615","Percent.sd.1.reg","Region"
"NSal.1","North","Salinity","37.4344191409628","Percent.sd.1.reg","Region"
"STemp.1","South","Temperature","28.4397992161177","Percent.sd.1.reg","Region"
"NTemp.1","North","Temperature","12.1527777777778","Percent.sd.1.reg","Region"
"SpH.2","South","pH","5.47868151648104","Percent.sd.2.reg","Region"
"NpH.2","North","pH","2.27521112767014","Percent.sd.2.reg","Region"
"SDO.2","South","DO","5.43360643066935","Percent.sd.2.reg","Region"
"NDO.2","North","DO","4.55214775547983","Percent.sd.2.reg","Region"
"SSal.2","South","Salinity","9.98890546692681","Percent.sd.2.reg","Region"
"NSal.2","North","Salinity","3.15941193427501","Percent.sd.2.reg","Region"
"STemp.2","South","Temperature","3.97785876366637","Percent.sd.2.reg","Region"
"NTemp.2","North","Temperature","2.49498854524628","Percent.sd.2.reg","Region"
