"","Protein","Group","Comparison","P"
"1","Arachidonate","Treatment","Bare-Eelgrass",0.733644470437559
"2","Arachidonate","Region","North-South",0.157230137436247
"3","Arachidonate","Site","PG-CI",0.576691631183493
"4","Arachidonate","Site","WB-CI",0.25490962200793
"5","Arachidonate","Site","FB-CI",0.0437382205145809
"6","Arachidonate","Site","WB-PG",0.935643801602355
"7","Arachidonate","Site","FB-PG",0.463313430039143
"8","Arachidonate","Site","FB-WB",0.806036956119209
"9","Catalase","Treatment","Bare-Eelgrass",0.688360162601663
"10","Catalase","Region","North-South",0.991008521580383
"11","Catalase","Site","WB-PG",0.997394071564302
"12","Catalase","Site","CI-PG",0.946232089699502
"13","Catalase","Site","FB-PG",0.8649556155887
"14","Catalase","Site","CI-WB",0.984341798134182
"15","Catalase","Site","FB-WB",0.935592926403113
"16","Catalase","Site","FB-CI",0.995151628963483
"17","Cytochrome","Treatment","Eelgrass-Bare",0.86668353691656
"18","Cytochrome","Region","North-South",0.0929555860004732
"19","Cytochrome","Site","WB-CI",0.762639436763069
"20","Cytochrome","Site","PG-CI",0.482869671787569
"21","Cytochrome","Site","FB-CI",0.221753405062195
"22","Cytochrome","Site","PG-WB",0.967174022474573
"23","Cytochrome","Site","FB-WB",0.752127837416255
"24","Cytochrome","Site","FB-PG",0.947100159449745
"25","Glycogen","Treatment","Bare-Eelgrass",0.828136764375224
"26","Glycogen","Region","North-South",0.113184515592163
"27","Glycogen","Site","WB-CI",0.630487440067971
"28","Glycogen","Site","PG-CI",0.622331679459643
"29","Glycogen","Site","FB-CI",0.111011968893276
"30","Glycogen","Site","PG-WB",0.999999170528553
"31","Glycogen","Site","FB-WB",0.667561095100718
"32","Glycogen","Site","FB-PG",0.675403290993402
"33","HSP70","Treatment","Bare-Eelgrass",0.394201751661851
"34","HSP70","Region","North-South",0.000164026433100095
"35","HSP70","Site","WB-CI",0.231315969945661
"36","HSP70","Site","PG-CI",0.00601485429028825
"37","HSP70","Site","FB-CI",0.000344272725953387
"38","HSP70","Site","PG-WB",0.412013920371893
"39","HSP70","Site","FB-WB",0.0650741639470964
"40","HSP70","Site","FB-PG",0.731231037552789
"41","HSP90-alpha","Treatment","Bare-Eelgrass",0.65829780769401
"42","HSP90-alpha","Region","North-South",0.000565196910655152
"43","HSP90-alpha","Site","WB-CI",0.460465424169008
"44","HSP90-alpha","Site","PG-CI",0.0267038957156814
"45","HSP90-alpha","Site","FB-CI",0.00193918802053938
"46","HSP90-alpha","Site","PG-WB",0.473491961842162
"47","HSP90-alpha","Site","FB-WB",0.0853280281871841
"48","HSP90-alpha","Site","FB-PG",0.74219098283785
"49","PDI","Treatment","Bare-Eelgrass",0.559379385323623
"50","PDI","Region","North-South",0.000829635947469431
"51","PDI","Site","WB-CI",0.709528194831824
"52","PDI","Site","PG-CI",0.0471907449131048
"53","PDI","Site","FB-CI",0.00685908767131638
"54","PDI","Site","PG-WB",0.374534021322359
"55","PDI","Site","FB-WB",0.0931922133137189
"56","PDI","Site","FB-PG",0.85219642129452
"57","Peroxiredoxin-1","Treatment","Eelgrass-Bare",0.922639490199731
"58","Peroxiredoxin-1","Region","North-South",0.00891002758582338
"59","Peroxiredoxin-1","Site","WB-CI",0.549484408906197
"60","Peroxiredoxin-1","Site","PG-CI",0.203219282283103
"61","Peroxiredoxin-1","Site","FB-CI",0.0104720979032726
"62","Peroxiredoxin-1","Site","PG-WB",0.907041804258241
"63","Peroxiredoxin-1","Site","FB-WB",0.208598880315448
"64","Peroxiredoxin-1","Site","FB-PG",0.549305716939205
"65","Puromycin-sensitive","Treatment","Bare-Eelgrass",0.952508961527777
"66","Puromycin-sensitive","Region","North-South",0.00721461857704508
"67","Puromycin-sensitive","Site","WB-CI",0.775174102559626
"68","Puromycin-sensitive","Site","PG-CI",0.157578125860484
"69","Puromycin-sensitive","Site","FB-CI",0.0384736194305624
"70","Puromycin-sensitive","Site","PG-WB",0.641065795935671
"71","Puromycin-sensitive","Site","FB-WB",0.265580107815904
"72","Puromycin-sensitive","Site","FB-PG",0.899774659757254
"73","Ras-related","Treatment","Bare-Eelgrass",0.916032340537395
"74","Ras-related","Region","North-South",0.0421093507233492
"75","Ras-related","Site","WB-CI",0.608784497300584
"76","Ras-related","Site","PG-CI",0.314535751820257
"77","Ras-related","Site","FB-CI",0.080394689828867
"78","Ras-related","Site","PG-WB",0.956567096284227
"79","Ras-related","Site","FB-WB",0.595263073701939
"80","Ras-related","Site","FB-PG",0.872488397350863
"81","Sodium/potassium-transporting","Treatment","Bare-Eelgrass",0.679740873676448
"82","Sodium/potassium-transporting","Region","North-South",0.150354887436843
"83","Sodium/potassium-transporting","Site","WB-CI",0.717358412908558
"84","Sodium/potassium-transporting","Site","PG-CI",0.694235079659058
"85","Sodium/potassium-transporting","Site","FB-CI",0.18530532435354
"86","Sodium/potassium-transporting","Site","PG-WB",0.999978678389158
"87","Sodium/potassium-transporting","Site","FB-WB",0.739374722774211
"88","Sodium/potassium-transporting","Site","FB-PG",0.760980008204665
"89","Superoxide","Treatment","Bare-Eelgrass",0.710997663425715
"90","Superoxide","Region","North-South",0.570730471233565
"91","Superoxide","Site","PG-CI",0.734823343123125
"92","Superoxide","Site","FB-CI",0.493481923194784
"93","Superoxide","Site","WB-CI",0.36926667760389
"94","Superoxide","Site","FB-PG",0.9753013396367
"95","Superoxide","Site","WB-PG",0.928282780064354
"96","Superoxide","Site","WB-FB",0.997897669413186
"97","Trifunctional","Treatment","Bare-Eelgrass",0.734019642387622
"98","Trifunctional","Region","North-South",0.00498661059807393
"99","Trifunctional","Site","WB-CI",0.371577222239597
"100","Trifunctional","Site","PG-CI",0.0773919818708455
"101","Trifunctional","Site","FB-CI",0.00734241343334052
"102","Trifunctional","Site","PG-WB",0.831149537941711
"103","Trifunctional","Site","FB-WB",0.277943863518644
"104","Trifunctional","Site","FB-PG",0.755309209509804
"105","All Proteins","Site","FB-PG",0.257761937572605
"106","All Proteins","Site","FB-WB",0.0291417362624851
"107","All Proteins","Site","PG-WB",0.772710356820208
"108","All Proteins","Site","FB-CI",1.44926898448805e-06
"109","All Proteins","Site","PG-CI",0.00319334115037162
"110","All Proteins","Site","WB-CI",0.0602166812484779
"111","All Proteins","Region",NA,NA
"112","All Proteins","Region","Bare-Eelgrass",0.621189459244824
